date,name,value
2017-01-01,"Egypt, Arab Rep.",96.44
2017-01-01,Singapore,5.61
2017-01-01,Greece,10.75
2017-01-01,Panama,4.11
2018-01-01,Greece,10.73
2018-01-01,Singapore,5.64
2018-01-01,Canada,37.06
2018-01-01,"Egypt, Arab Rep.",98.42
2017-01-01,Canada,36.54
2018-01-01,Panama,4.18
